run_slot_id,run_id,slot_id,sequence
13482,1,9,1
13483,2,9,1
13484,3,9,1
13485,3,10,2
13486,4,10,1
13487,5,10,1
13488,6,10,1
13489,7,11,1
13490,8,11,1
13491,9,12,1
13492,10,12,1
13493,11,13,1
13494,12,14,1
13495,13,15,1
13496,14,15,1
13497,15,16,1
13498,16,16,1
13499,17,17,1
13500,18,17,1
13501,18,18,2
13502,19,18,1
13503,20,19,1
13504,21,20,1
13505,22,20,1
13506,23,21,1
13507,24,22,1
13508,25,23,1
13509,26,23,1
13510,27,24,1
13511,28,25,1
13512,29,25,1
13513,29,26,2
13514,30,26,1
13515,31,26,1
13516,32,27,1
